loss,conv2d_63_loss,conv2d_126_loss,val_loss,val_conv2d_63_loss,val_conv2d_126_loss
"0,1721","0,0867","0,0854","0,112","0,055","0,056"
"0,1094","0,0547","0,0547","0,104","0,053","0,051"
"0,1036","0,0523","0,0513","0,101","0,051","0,050"
"0,0995","0,0505","0,0490","0,098","0,050","0,048"
"0,0963","0,0490","0,0474","0,096","0,049","0,047"
"0,0936","0,0478","0,0458","0,097","0,049","0,048"
"0,0915","0,0469","0,0447","0,094","0,048","0,046"
"0,0895","0,0459","0,0436","0,093","0,047","0,046"
"0,0877","0,0451","0,0426","0,091","0,047","0,045"
"0,0863","0,0445","0,0418","0,088","0,045","0,043"
"0,0849","0,0439","0,0410","0,087","0,045","0,042"
"0,0837","0,0433","0,0404","0,086","0,044","0,042"
"0,0826","0,0428","0,0397","0,086","0,044","0,042"
"0,0815","0,0424","0,0392","0,085","0,044","0,041"
"0,0807","0,0420","0,0386","0,085","0,044","0,041"
"0,0796","0,0416","0,0380","0,086","0,044","0,042"
"0,0790","0,0413","0,0377","0,084","0,043","0,041"
"0,0782","0,0410","0,0372","0,084","0,043","0,041"
"0,0774","0,0406","0,0367","0,083","0,043","0,040"
"0,0767","0,0404","0,0363","0,084","0,043","0,041"
"0,0760","0,0400","0,0359","0,084","0,043","0,041"
"0,0754","0,0398","0,0357","0,083","0,043","0,040"
"0,0748","0,0395","0,0353","0,084","0,043","0,041"
"0,0741","0,0392","0,0349","0,083","0,043","0,041"
"0,0734","0,0389","0,0345","0,082","0,042","0,040"
"0,0730","0,0387","0,0342","0,083","0,043","0,041"
"0,0725","0,0385","0,0339","0,083","0,042","0,041"
"0,0723","0,0385","0,0338","0,083","0,042","0,040"
"0,0713","0,0380","0,0333","0,083","0,042","0,040"
"0,0709","0,0379","0,0330","0,082","0,042","0,040"
"0,0705","0,0377","0,0327","0,083","0,042","0,041"
"0,0700","0,0375","0,0325","0,083","0,042","0,040"
"0,0698","0,0375","0,0323","0,083","0,042","0,041"
"0,0691","0,0372","0,0319","0,083","0,042","0,041"
"0,0688","0,0371","0,0317","0,083","0,042","0,040"
"0,0682","0,0368","0,0314","0,084","0,043","0,041"
"0,0678","0,0367","0,0312","0,083","0,042","0,041"
"0,0674","0,0365","0,0309","0,083","0,042","0,041"
"0,0671","0,0364","0,0307","0,083","0,042","0,041"
"0,0666","0,0362","0,0304","0,083","0,042","0,041"
"0,0664","0,0361","0,0303","0,084","0,043","0,041"
"0,0660","0,0359","0,0300","0,083","0,042","0,041"
"0,0656","0,0358","0,0298","0,084","0,043","0,041"
"0,0623","0,0345","0,0278","0,083","0,042","0,041"
"0,0608","0,0339","0,0269","0,083","0,042","0,041"
"0,0601","0,0337","0,0264","0,083","0,042","0,041"
"0,0595","0,0335","0,0261","0,083","0,042","0,041"
"0,0591","0,0333","0,0258","0,083","0,042","0,041"
"0,0587","0,0332","0,0255","0,083","0,042","0,041"
"0,0584","0,0331","0,0253","0,084","0,042","0,041"
"0,0580","0,0330","0,0251","0,084","0,042","0,042"
"0,0577","0,0328","0,0249","0,084","0,042","0,042"
"0,0568","0,0325","0,0243","0,084","0,042","0,042"
"0,0566","0,0324","0,0241","0,084","0,042","0,042"
"0,0564","0,0324","0,0241","0,084","0,042","0,042"
"0,0563","0,0324","0,0240","0,084","0,042","0,042"
"0,0562","0,0323","0,0239","0,084","0,042","0,042"
"0,0562","0,0323","0,0239","0,084","0,042","0,042"
"0,0561","0,0323","0,0238","0,084","0,042","0,042"
"0,0560","0,0322","0,0237","0,084","0,043","0,042"
"0,0558","0,0322","0,0236","0,084","0,043","0,042"
"0,0558","0,0322","0,0236","0,084","0,043","0,042"
"0,0558","0,0322","0,0236","0,084","0,043","0,042"
"0,0557","0,0322","0,0236","0,084","0,043","0,042"
