loss,conv2d_63_loss,conv2d_126_loss,val_loss,val_conv2d_63_loss,val_conv2d_126_loss
"0,0543","0,0299","0,0244","0,084","0,042","0,042"
"0,0542","0,0299","0,0243","0,084","0,042","0,042"
"0,0541","0,0298","0,0243","0,084","0,042","0,042"
"0,0540","0,0298","0,0242","0,084","0,042","0,042"
"0,0539","0,0298","0,0241","0,084","0,042","0,042"
"0,0538","0,0297","0,0241","0,084","0,042","0,042"
"0,0537","0,0297","0,0240","0,084","0,042","0,042"
"0,0535","0,0296","0,0239","0,084","0,042","0,042"
"0,0535","0,0296","0,0239","0,084","0,042","0,042"
"0,0535","0,0296","0,0238","0,084","0,042","0,042"
"0,0534","0,0296","0,0238","0,085","0,042","0,042"
"0,0534","0,0296","0,0238","0,084","0,042","0,042"
"0,0534","0,0296","0,0238","0,084","0,042","0,042"
"0,0534","0,0296","0,0238","0,085","0,042","0,042"
"0,0534","0,0296","0,0238","0,084","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0238","0,085","0,042","0,042"
"0,0533","0,0296","0,0238","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0238","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0532","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,084","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0532","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0532","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0296","0,0237","0,085","0,042","0,042"
"0,0533","0,0295","0,0237","0,085","0,042","0,042"
