loss,conv2d_63_loss,conv2d_126_loss,val_loss,val_conv2d_63_loss,val_conv2d_126_loss
"0,1759","0,0859","0,0900","0,107","0,053","0,053"
"0,1104","0,0566","0,0538","0,103","0,052","0,051"
"0,1032","0,0519","0,0513","0,100","0,050","0,050"
"0,0984","0,0495","0,0489","0,097","0,049","0,048"
"0,0956","0,0481","0,0475","0,097","0,049","0,048"
"0,0925","0,0466","0,0459","0,093","0,047","0,046"
"0,0906","0,0457","0,0450","0,093","0,047","0,046"
"0,0883","0,0445","0,0438","0,091","0,046","0,045"
"0,0867","0,0437","0,0430","0,090","0,046","0,045"
"0,0852","0,0430","0,0422","0,089","0,045","0,044"
"0,0839","0,0423","0,0415","0,087","0,044","0,043"
"0,0826","0,0418","0,0409","0,085","0,043","0,042"
"0,0815","0,0412","0,0403","0,085","0,043","0,042"
"0,0805","0,0408","0,0398","0,085","0,043","0,042"
"0,0795","0,0403","0,0393","0,084","0,042","0,042"
"0,0787","0,0399","0,0388","0,084","0,042","0,041"
"0,0779","0,0395","0,0384","0,084","0,042","0,042"
"0,0770","0,0391","0,0379","0,083","0,042","0,041"
"0,0765","0,0389","0,0376","0,083","0,042","0,041"
"0,0755","0,0385","0,0370","0,083","0,042","0,041"
"0,0748","0,0381","0,0366","0,083","0,042","0,041"
"0,0741","0,0379","0,0362","0,083","0,042","0,041"
"0,0757","0,0386","0,0370","0,083","0,042","0,041"
"0,0729","0,0373","0,0356","0,083","0,042","0,041"
"0,0726","0,0372","0,0354","0,082","0,042","0,041"
"0,0721","0,0370","0,0351","0,083","0,042","0,041"
"0,0714","0,0367","0,0347","0,082","0,042","0,041"
"0,0708","0,0364","0,0344","0,085","0,043","0,042"
"0,0703","0,0362","0,0341","0,083","0,042","0,041"
"0,0699","0,0361","0,0338","0,083","0,042","0,041"
"0,0691","0,0357","0,0334","0,083","0,042","0,041"
"0,0688","0,0356","0,0332","0,083","0,042","0,041"
"0,0681","0,0353","0,0328","0,083","0,042","0,041"
"0,0677","0,0352","0,0326","0,083","0,042","0,041"
"0,0673","0,0350","0,0323","0,084","0,042","0,042"
"0,0673","0,0350","0,0323","0,083","0,042","0,041"
"0,0664","0,0346","0,0318","0,083","0,042","0,041"
"0,0660","0,0345","0,0315","0,083","0,042","0,041"
"0,0656","0,0343","0,0313","0,083","0,042","0,041"
"0,0652","0,0341","0,0311","0,083","0,042","0,042"
"0,0648","0,0340","0,0308","0,083","0,042","0,041"
"0,0647","0,0339","0,0307","0,083","0,042","0,042"
"0,0641","0,0337","0,0304","0,084","0,042","0,042"
"0,0637","0,0335","0,0302","0,083","0,042","0,042"
"0,0602","0,0321","0,0281","0,083","0,041","0,041"
"0,0587","0,0315","0,0272","0,083","0,042","0,041"
"0,0581","0,0312","0,0268","0,083","0,042","0,041"
"0,0576","0,0310","0,0265","0,083","0,042","0,042"
"0,0571","0,0309","0,0262","0,084","0,042","0,042"
"0,0567","0,0307","0,0260","0,084","0,042","0,042"
"0,0564","0,0306","0,0258","0,084","0,042","0,042"
"0,0560","0,0305","0,0255","0,084","0,042","0,042"
"0,0556","0,0304","0,0253","0,084","0,042","0,042"
"0,0546","0,0300","0,0246","0,084","0,042","0,042"
