loss,val_loss
"0,0668","0,027"
"0,0266","0,026"
"0,0319","0,027"
"0,0264","0,026"
"0,0259","0,026"
"0,0257","0,026"
"0,0254","0,025"
"0,0251","0,025"
"0,0249","0,025"
"0,0247","0,025"
"0,0246","0,025"
"0,0244","0,025"
"0,0243","0,025"
"0,0242","0,025"
"0,0241","0,025"
"0,0240","0,024"
"0,0239","0,025"
"0,0239","0,025"
"0,0238","0,025"
"0,0237","0,025"
"0,0237","0,025"
"0,0236","0,024"
"0,0235","0,025"
"0,0235","0,025"
"0,0235","0,024"
"0,0234","0,024"
"0,0234","0,024"
"0,0233","0,025"
"0,0233","0,025"
"0,0232","0,024"
"0,0232","0,024"
"0,0231","0,024"
"0,0231","0,025"
"0,0231","0,024"
"0,0230","0,024"
"0,0230","0,024"
"0,0229","0,024"
"0,0228","0,024"
"0,0228","0,024"
"0,0227","0,024"
"0,0227","0,024"
"0,0227","0,024"
"0,0226","0,024"
"0,0226","0,024"
"0,0226","0,024"
"0,0226","0,024"
"0,0225","0,024"
"0,0225","0,024"
"0,0225","0,024"
"0,0225","0,024"
"0,0224","0,024"
"0,0224","0,024"
"0,0220","0,024"
"0,0219","0,024"
"0,0219","0,024"
"0,0218","0,024"
"0,0218","0,024"
"0,0218","0,024"
"0,0218","0,024"
"0,0217","0,024"
"0,0217","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0216","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
"0,0215","0,024"
