loss,val_loss
"0,0785","0,054"
"0,0569","0,053"
"0,0526","0,051"
"0,0504","0,050"
"0,0492","0,049"
"0,0478","0,048"
"0,0462","0,047"
"0,0453","0,047"
"0,0446","0,046"
"0,0440","0,045"
"0,0434","0,045"
"0,0429","0,047"
"0,0423","0,044"
"0,0419","0,044"
"0,0415","0,044"
"0,0411","0,043"
"0,0407","0,043"
"0,0405","0,043"
"0,0400","0,044"
"0,0398","0,043"
"0,0395","0,042"
"0,0392","0,042"
"0,0389","0,043"
"0,0386","0,042"
"0,0384","0,043"
"0,0382","0,042"
"0,0380","0,042"
"0,0378","0,042"
"0,0375","0,042"
"0,0374","0,042"
"0,0371","0,042"
"0,0370","0,042"
"0,0368","0,042"
"0,0365","0,042"
"0,0364","0,042"
"0,0363","0,042"
"0,0361","0,042"
"0,0360","0,042"
"0,0358","0,042"
"0,0356","0,042"
"0,0355","0,042"
"0,0354","0,042"
"0,0352","0,043"
"0,0352","0,042"
"0,0351","0,042"
"0,0349","0,042"
"0,0348","0,042"
"0,0347","0,042"
"0,0345","0,042"
"0,0344","0,042"
"0,0343","0,042"
"0,0343","0,042"
"0,0342","0,042"
"0,0340","0,042"
"0,0339","0,042"
"0,0339","0,042"
"0,0337","0,042"
"0,0337","0,043"
"0,0335","0,042"
"0,0336","0,043"
"0,0334","0,042"
"0,0333","0,043"
"0,0332","0,042"
"0,0331","0,043"
"0,0330","0,042"
"0,0330","0,042"
"0,0330","0,042"
"0,0329","0,043"
"0,0327","0,043"
"0,0327","0,042"
"0,0328","0,043"
"0,0325","0,042"
"0,0325","0,043"
"0,0324","0,043"
"0,0313","0,042"
"0,0308","0,043"
"0,0307","0,043"
"0,0306","0,043"
"0,0305","0,043"
"0,0305","0,043"
"0,0304","0,043"
"0,0303","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0300","0,043"
"0,0294","0,043"
"0,0292","0,043"
"0,0291","0,043"
"0,0290","0,043"
"0,0290","0,043"
"0,0289","0,043"
"0,0289","0,043"
"0,0288","0,043"
"0,0288","0,044"
"0,0287","0,043"
"0,0287","0,043"
"0,0284","0,043"
"0,0283","0,044"
"0,0282","0,044"
"0,0282","0,044"
"0,0282","0,044"
"0,0281","0,044"
"0,0281","0,044"
"0,0281","0,044"
"0,0281","0,044"
"0,0281","0,044"
"0,0281","0,044"
"0,0279","0,044"
"0,0279","0,044"
"0,0278","0,044"
"0,0278","0,044"
"0,0278","0,044"
"0,0278","0,044"
"0,0278","0,044"
"0,0277","0,044"
"0,0277","0,044"
"0,0277","0,044"
"0,0277","0,044"
"0,0276","0,044"
"0,0276","0,044"
"0,0276","0,044"
"0,0276","0,044"
"0,0276","0,044"
"0,0276","0,044"
"0,0276","0,044"
"0,0276","0,044"
"0,0276","0,044"
"0,0276","0,044"
"0,0275","0,044"
"0,0275","0,044"
"0,0275","0,044"
"0,0275","0,044"
"0,0275","0,044"
"0,0275","0,044"
"0,0275","0,044"
"0,0275","0,044"
"0,0275","0,044"
"0,0275","0,044"
"0,0275","0,044"
"0,0274","0,044"
"0,0275","0,044"
"0,0274","0,044"
"0,0274","0,044"
"0,0274","0,044"
"0,0274","0,044"
"0,0274","0,044"
"0,0274","0,044"
"0,0274","0,044"
"0,0274","0,044"
"0,0274","0,044"
