loss,val_loss
"0,0934","0,056"
"0,0619","0,095"
"0,0544","0,061"
"0,0535","0,050"
"0,0499","0,049"
"0,0491","0,049"
"0,0475","0,061"
"0,0472","0,047"
"0,0457","0,046"
"0,0447","0,047"
"0,0443","0,046"
"0,0435","0,045"
"0,0429","0,049"
"0,0423","0,044"
"0,0419","0,044"
"0,0414","0,043"
"0,0410","0,044"
"0,0405","0,043"
"0,0401","0,043"
"0,0397","0,043"
"0,0393","0,042"
"0,0389","0,043"
"0,0386","0,043"
"0,0382","0,042"
"0,0378","0,042"
"0,0375","0,042"
"0,0372","0,042"
"0,0370","0,042"
"0,0367","0,043"
"0,0364","0,043"
"0,0360","0,042"
"0,0358","0,042"
"0,0355","0,042"
"0,0352","0,043"
"0,0350","0,042"
"0,0348","0,042"
"0,0346","0,042"
"0,0343","0,042"
"0,0342","0,042"
"0,0339","0,043"
"0,0337","0,042"
"0,0335","0,042"
"0,0333","0,043"
"0,0332","0,042"
"0,0329","0,042"
"0,0327","0,043"
"0,0326","0,043"
"0,0325","0,043"
"0,0323","0,043"
"0,0321","0,043"
"0,0319","0,043"
"0,0319","0,043"
"0,0317","0,043"
"0,0299","0,042"
"0,0292","0,043"
"0,0288","0,043"
"0,0286","0,043"
"0,0284","0,043"
"0,0282","0,043"
"0,0281","0,043"
"0,0279","0,043"
"0,0278","0,043"
"0,0273","0,043"
"0,0272","0,043"
"0,0271","0,043"
"0,0270","0,043"
"0,0270","0,043"
"0,0270","0,043"
"0,0269","0,043"
"0,0269","0,043"
"0,0268","0,043"
"0,0268","0,043"
"0,0268","0,043"
"0,0268","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0266","0,044"
"0,0267","0,043"
"0,0266","0,043"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,044"
"0,0267","0,044"
"0,0267","0,043"
"0,0267","0,043"
"0,0267","0,044"
