loss,val_loss
"0,0789","0,055"
"0,0616","0,053"
"0,0542","0,051"
"0,0524","0,054"
"0,0505","0,050"
"0,0492","0,049"
"0,0494","0,903"
"0,0473","0,048"
"0,0460","0,046"
"0,0451","0,047"
"0,0444","0,046"
"0,0437","0,046"
"0,0432","0,045"
"0,0427","0,045"
"0,0421","0,045"
"0,0417","0,043"
"0,0413","0,043"
"0,0409","0,043"
"0,0405","0,043"
"0,0401","0,043"
"0,0399","0,043"
"0,0396","0,044"
"0,0393","0,043"
"0,0391","0,043"
"0,0387","0,042"
"0,0386","0,042"
"0,0384","0,042"
"0,0381","0,042"
"0,0379","0,042"
"0,0377","0,042"
"0,0375","0,042"
"0,0373","0,042"
"0,0371","0,042"
"0,0369","0,042"
"0,0367","0,042"
"0,0366","0,042"
"0,0366","0,042"
"0,0363","0,042"
"0,0362","0,042"
"0,0360","0,042"
"0,0359","0,042"
"0,0357","0,042"
"0,0356","0,042"
"0,0355","0,042"
"0,0354","0,042"
"0,0353","0,042"
"0,0351","0,042"
"0,0351","0,042"
"0,0348","0,042"
"0,0348","0,042"
"0,0346","0,042"
"0,0345","0,042"
"0,0345","0,042"
"0,0344","0,042"
"0,0343","0,042"
"0,0341","0,042"
"0,0341","0,042"
"0,0340","0,042"
"0,0325","0,042"
"0,0320","0,042"
"0,0317","0,042"
"0,0315","0,042"
"0,0314","0,042"
"0,0313","0,042"
"0,0312","0,042"
"0,0311","0,042"
"0,0310","0,042"
"0,0306","0,042"
"0,0305","0,042"
"0,0305","0,042"
"0,0304","0,042"
"0,0304","0,042"
"0,0304","0,042"
"0,0304","0,042"
"0,0303","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0302","0,043"
"0,0302","0,043"
"0,0301","0,043"
"0,0301","0,043"
"0,0302","0,043"
