loss,val_loss
"0,0998","0,107"
"0,0595","0,054"
"0,0548","0,052"
"0,0517","0,051"
"0,0524","0,050"
"0,0498","0,050"
"0,0487","0,049"
"0,0478","0,048"
"0,0467","0,048"
"0,0458","0,046"
"0,0444","0,045"
"0,0436","0,045"
"0,0429","0,044"
"0,0423","0,044"
"0,0418","0,045"
"0,0412","0,044"
"0,0407","0,044"
"0,0403","0,044"
"0,0398","0,043"
"0,0394","0,043"
"0,0389","0,044"
"0,0387","0,043"
"0,0381","0,043"
"0,0377","0,044"
"0,0374","0,043"
"0,0370","0,043"
"0,0366","0,043"
"0,0363","0,043"
"0,0359","0,043"
"0,0355","0,043"
"0,0352","0,043"
"0,0350","0,043"
"0,0346","0,043"
"0,0342","0,043"
"0,0340","0,043"
"0,0338","0,043"
"0,0334","0,043"
"0,0331","0,043"
"0,0328","0,043"
"0,0327","0,043"
"0,0324","0,043"
"0,0321","0,043"
"0,0319","0,043"
"0,0316","0,043"
"0,0314","0,044"
"0,0312","0,043"
"0,0312","0,043"
"0,0309","0,044"
"0,0306","0,044"
"0,0285","0,043"
"0,0276","0,044"
"0,0272","0,044"
"0,0269","0,044"
"0,0267","0,044"
"0,0265","0,044"
"0,0263","0,044"
"0,0261","0,044"
"0,0259","0,044"
"0,0258","0,044"
"0,0252","0,044"
"0,0250","0,045"
"0,0249","0,045"
"0,0249","0,045"
"0,0249","0,045"
"0,0248","0,045"
"0,0248","0,045"
"0,0247","0,045"
"0,0246","0,045"
"0,0245","0,045"
"0,0245","0,045"
"0,0245","0,045"
"0,0245","0,045"
"0,0245","0,045"
"0,0245","0,045"
"0,0245","0,045"
"0,0245","0,045"
"0,0244","0,045"
"0,0245","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0245","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0245","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
"0,0244","0,045"
