loss,conv2d_63_loss,conv2d_95_loss,conv2d_127_loss,val_loss,val_conv2d_63_loss,val_conv2d_95_loss,val_conv2d_127_loss
"0,2256","0,0782","0,0719","0,0755","8,018","4,143","2,806","1,069"
"0,1640","0,0564","0,0536","0,0541","0,153","0,052","0,051","0,051"
"0,1530","0,0516","0,0506","0,0508","0,149","0,051","0,049","0,049"
"0,1484","0,0508","0,0488","0,0488","0,153","0,052","0,050","0,050"
"0,1447","0,0498","0,0476","0,0473","0,143","0,049","0,047","0,047"
"0,1400","0,0485","0,0460","0,0456","0,154","0,054","0,048","0,052"
"0,1368","0,0476","0,0449","0,0443","0,139","0,048","0,046","0,045"
"0,1342","0,0469","0,0440","0,0433","0,137","0,047","0,045","0,045"
"0,1321","0,0463","0,0434","0,0424","0,137","0,047","0,046","0,044"
"0,1303","0,0459","0,0428","0,0417","0,133","0,046","0,044","0,043"
"0,1288","0,0455","0,0422","0,0410","0,132","0,046","0,043","0,042"
"0,1272","0,0451","0,0417","0,0404","0,132","0,046","0,043","0,042"
"0,1259","0,0448","0,0413","0,0399","0,131","0,046","0,043","0,042"
"0,1247","0,0445","0,0408","0,0394","0,129","0,046","0,042","0,041"
"0,1237","0,0443","0,0405","0,0390","0,129","0,045","0,043","0,041"
"0,1227","0,0440","0,0401","0,0385","0,128","0,045","0,042","0,041"
"0,1217","0,0438","0,0398","0,0381","0,128","0,045","0,042","0,041"
"0,1207","0,0435","0,0394","0,0377","0,151","0,050","0,057","0,044"
"0,1199","0,0434","0,0392","0,0374","0,128","0,045","0,042","0,041"
"0,1190","0,0430","0,0389","0,0371","0,128","0,045","0,042","0,041"
"0,1183","0,0428","0,0387","0,0368","0,127","0,044","0,042","0,041"
"0,1178","0,0427","0,0385","0,0366","0,126","0,044","0,041","0,040"
"0,1168","0,0425","0,0381","0,0362","0,128","0,045","0,042","0,042"
"0,1164","0,0424","0,0380","0,0360","0,129","0,044","0,042","0,042"
"0,1158","0,0423","0,0378","0,0358","0,125","0,044","0,041","0,040"
"0,1152","0,0421","0,0376","0,0355","0,126","0,044","0,041","0,040"
"0,1145","0,0419","0,0373","0,0352","0,126","0,044","0,042","0,041"
"0,1138","0,0418","0,0371","0,0349","0,127","0,044","0,042","0,041"
"0,1132","0,0417","0,0369","0,0347","0,125","0,044","0,041","0,040"
"0,1128","0,0416","0,0367","0,0346","0,127","0,045","0,042","0,041"
"0,1172","0,0426","0,0383","0,0363","0,126","0,044","0,041","0,040"
"0,1131","0,0417","0,0368","0,0346","0,125","0,044","0,041","0,040"
"0,1115","0,0413","0,0362","0,0340","0,126","0,044","0,041","0,040"
"0,1076","0,0405","0,0349","0,0322","0,124","0,043","0,041","0,040"
"0,1062","0,0402","0,0343","0,0316","0,124","0,043","0,041","0,040"
"0,1054","0,0401","0,0341","0,0312","0,124","0,044","0,041","0,040"
"0,1048","0,0400","0,0339","0,0309","0,124","0,044","0,041","0,040"
"0,1044","0,0399","0,0337","0,0307","0,125","0,044","0,041","0,040"
"0,1039","0,0399","0,0336","0,0305","0,125","0,044","0,041","0,040"
"0,1036","0,0398","0,0334","0,0303","0,125","0,044","0,041","0,040"
"0,1031","0,0397","0,0333","0,0301","0,125","0,044","0,041","0,040"
"0,1028","0,0397","0,0332","0,0299","0,125","0,044","0,041","0,040"
"0,1016","0,0395","0,0327","0,0294","0,125","0,044","0,041","0,041"
"0,1013","0,0394","0,0326","0,0292","0,125","0,044","0,041","0,041"
"0,1012","0,0394","0,0326","0,0292","0,125","0,044","0,041","0,041"
"0,1010","0,0394","0,0326","0,0291","0,126","0,044","0,041","0,041"
"0,1009","0,0394","0,0325","0,0290","0,126","0,044","0,041","0,041"
"0,1009","0,0394","0,0325","0,0290","0,126","0,044","0,041","0,041"
"0,1008","0,0393","0,0325","0,0290","0,126","0,044","0,041","0,041"
"0,1006","0,0393","0,0324","0,0289","0,126","0,044","0,041","0,041"
"0,1004","0,0393","0,0323","0,0288","0,126","0,044","0,041","0,041"
"0,1003","0,0393","0,0323","0,0287","0,126","0,044","0,041","0,041"
"0,1003","0,0393","0,0323","0,0287","0,126","0,044","0,041","0,041"
"0,1003","0,0393","0,0323","0,0287","0,126","0,044","0,041","0,041"
"0,1003","0,0393","0,0323","0,0287","0,126","0,044","0,041","0,041"
"0,1002","0,0393","0,0323","0,0287","0,126","0,044","0,041","0,041"
"0,1002","0,0393","0,0323","0,0287","0,126","0,044","0,041","0,041"
"0,1002","0,0393","0,0323","0,0287","0,126","0,044","0,041","0,041"
"0,1002","0,0392","0,0323","0,0287","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0287","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1000","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1000","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
"0,1001","0,0392","0,0322","0,0286","0,126","0,044","0,041","0,041"
