loss,conv2d_63_loss,conv2d_95_loss,conv2d_127_loss,val_loss,val_conv2d_63_loss,val_conv2d_95_loss,val_conv2d_127_loss
"0,2619","0,0882","0,0878","0,0860","0,166","0,058","0,054","0,054"
"0,1663","0,0568","0,0554","0,0541","0,156","0,052","0,052","0,052"
"0,1526","0,0511","0,0509","0,0506","0,150","0,050","0,050","0,050"
"0,1466","0,0492","0,0488","0,0485","0,148","0,049","0,049","0,049"
"0,1417","0,0477","0,0472","0,0468","0,143","0,048","0,048","0,047"
"0,1373","0,0464","0,0457","0,0452","0,140","0,048","0,046","0,046"
"0,1336","0,0453","0,0444","0,0439","0,137","0,046","0,045","0,045"
"0,1305","0,0444","0,0433","0,0427","0,136","0,046","0,045","0,045"
"0,1280","0,0437","0,0425","0,0419","0,133","0,045","0,044","0,044"
"0,1257","0,0430","0,0417","0,0410","0,130","0,044","0,043","0,043"
"0,1237","0,0424","0,0410","0,0403","0,128","0,044","0,042","0,042"
"0,1220","0,0419","0,0404","0,0397","0,128","0,044","0,043","0,042"
"0,1203","0,0414","0,0398","0,0391","0,126","0,043","0,042","0,041"
"0,1189","0,0410","0,0394","0,0386","0,128","0,044","0,043","0,042"
"0,1174","0,0406","0,0389","0,0380","0,126","0,043","0,042","0,041"
"0,1163","0,0402","0,0385","0,0375","0,128","0,044","0,042","0,042"
"0,1150","0,0399","0,0380","0,0371","0,126","0,043","0,042","0,041"
"0,1138","0,0396","0,0376","0,0366","0,125","0,043","0,041","0,041"
"0,1129","0,0393","0,0373","0,0363","0,124","0,042","0,041","0,040"
"0,1120","0,0391","0,0370","0,0359","0,123","0,042","0,041","0,040"
"0,1112","0,0388","0,0367","0,0356","0,123","0,042","0,041","0,040"
"0,1097","0,0384","0,0362","0,0350","0,124","0,042","0,041","0,041"
"0,1092","0,0383","0,0360","0,0348","0,123","0,042","0,041","0,040"
"0,1078","0,0379","0,0356","0,0344","0,124","0,042","0,041","0,040"
"0,1074","0,0378","0,0354","0,0342","0,125","0,043","0,041","0,041"
"0,1063","0,0375","0,0351","0,0337","0,124","0,042","0,041","0,041"
"0,1056","0,0373","0,0348","0,0335","0,123","0,042","0,041","0,040"
"0,1046","0,0370","0,0345","0,0331","0,123","0,042","0,041","0,040"
"0,1045","0,0371","0,0345","0,0330","0,123","0,042","0,041","0,040"
"0,1031","0,0366","0,0340","0,0325","0,124","0,042","0,041","0,041"
"0,1027","0,0365","0,0339","0,0324","0,123","0,042","0,041","0,040"
"0,1016","0,0361","0,0335","0,0320","0,123","0,042","0,041","0,040"
"0,1009","0,0359","0,0333","0,0317","0,123","0,042","0,041","0,040"
"0,1008","0,0359","0,0332","0,0316","0,123","0,042","0,041","0,040"
"0,0997","0,0356","0,0329","0,0312","0,123","0,042","0,041","0,041"
"0,0991","0,0355","0,0327","0,0310","0,124","0,042","0,041","0,041"
"0,0985","0,0353","0,0325","0,0307","0,124","0,042","0,041","0,041"
"0,0984","0,0353","0,0325","0,0307","0,124","0,042","0,041","0,041"
"0,0974","0,0350","0,0321","0,0303","0,124","0,042","0,041","0,041"
"0,0970","0,0349","0,0320","0,0301","0,124","0,042","0,041","0,041"
"0,0963","0,0347","0,0317","0,0298","0,124","0,042","0,041","0,041"
"0,0956","0,0346","0,0315","0,0295","0,124","0,042","0,041","0,041"
"0,0951","0,0344","0,0313","0,0293","0,125","0,042","0,041","0,041"
"0,0946","0,0343","0,0312","0,0291","0,125","0,043","0,042","0,041"
"0,0939","0,0341","0,0309","0,0289","0,124","0,042","0,041","0,041"
"0,0935","0,0340","0,0308","0,0287","0,125","0,042","0,041","0,041"
"0,0931","0,0339","0,0307","0,0285","0,125","0,042","0,041","0,041"
"0,0923","0,0337","0,0304","0,0282","0,125","0,042","0,041","0,041"
"0,0920","0,0336","0,0303","0,0281","0,125","0,042","0,041","0,041"
"0,0865","0,0322","0,0285","0,0259","0,123","0,042","0,041","0,041"
"0,0843","0,0316","0,0277","0,0249","0,124","0,042","0,041","0,041"
"0,0832","0,0314","0,0274","0,0245","0,124","0,042","0,041","0,041"
"0,0825","0,0312","0,0271","0,0241","0,125","0,042","0,041","0,041"
"0,0818","0,0311","0,0269","0,0239","0,125","0,042","0,041","0,041"
"0,0813","0,0309","0,0267","0,0236","0,125","0,042","0,041","0,042"
"0,0807","0,0308","0,0265","0,0234","0,126","0,042","0,042","0,042"
"0,0803","0,0307","0,0264","0,0232","0,125","0,042","0,042","0,042"
"0,0799","0,0306","0,0262","0,0230","0,126","0,042","0,042","0,042"
"0,0784","0,0303","0,0257","0,0224","0,126","0,042","0,042","0,042"
"0,0781","0,0302","0,0256","0,0223","0,126","0,042","0,042","0,042"
"0,0779","0,0302","0,0256","0,0222","0,126","0,042","0,042","0,042"
"0,0777","0,0301","0,0255","0,0221","0,126","0,042","0,042","0,042"
"0,0776","0,0301","0,0255","0,0220","0,126","0,042","0,042","0,042"
"0,0775","0,0301","0,0254","0,0220","0,126","0,042","0,042","0,042"
"0,0774","0,0301","0,0254","0,0219","0,126","0,042","0,042","0,042"
"0,0773","0,0300","0,0253","0,0219","0,126","0,042","0,042","0,042"
"0,0769","0,0300","0,0252","0,0217","0,126","0,042","0,042","0,042"
"0,0769","0,0299","0,0252","0,0217","0,126","0,042","0,042","0,042"
"0,0769","0,0300","0,0252","0,0217","0,126","0,042","0,042","0,042"
"0,0768","0,0299","0,0252","0,0217","0,126","0,042","0,042","0,042"
"0,0768","0,0299","0,0252","0,0217","0,127","0,042","0,042","0,042"
"0,0767","0,0299","0,0252","0,0216","0,127","0,042","0,042","0,042"
"0,0768","0,0299","0,0252","0,0217","0,127","0,042","0,042","0,042"
"0,0768","0,0299","0,0252","0,0217","0,126","0,042","0,042","0,042"
"0,0767","0,0299","0,0252","0,0216","0,127","0,042","0,042","0,042"
"0,0767","0,0299","0,0252","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0767","0,0299","0,0252","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
"0,0766","0,0299","0,0251","0,0216","0,127","0,042","0,042","0,042"
